Code,Course,Credits
STRNG 101,Viola: Secondary,1
STRNG 102,Violoncello: Secondary,1
STRNG 103,Double Bass: Secondary,1
STRNG 104,Guitar: Secondary,1
STRNG 105,Harp: Secondary,1
STRNG 110,Violin: Secondary,2
STRNG 111,Viola: Secondary,2
STRNG 112,Violoncello: Secondary,2
STRNG 113,Double Bass: Secondary,2
STRNG 114,Guitar: Secondary,2
STRNG 115,Harp: Secondary,2
THEA 100,The Art of the Theatre,3
THEA 101N,Performance and Society,3
THEA 102,Fundamentals of Acting,3
THEA 105,Introduction to Theatre,3
THEA 105H,Introduction to Theatre,3
THEA 107,Introduction to Dramatic Structure,3
THEA 111,The Fundamentals of Singing and Vocal Production,3
THEA 112,Introduction to Musical Theatre,3
THEA 189,"Principles of Stagecraft, A Look Behind the Curtain",1.5
THEA 197Z,Special Topics - Linked Courses,3
THEA 207,Gender and Theatre,3
THEA 208,Workshop: Theatre in Diverse Cultures,3
THEA 403,20th Century Theatre History,3
VOICE 100,Voice: Secondary,1
VOICE 110,Voice: Secondary,2
WMNST 106N,"Representing Women and Gender in Literature, Art and Popular Cultures",3
WMNST 106Q,"Representing Women and Gender in Literature, Art and Popular Cultures",3
WMNST 175N,"Fashion, Gender, and Identity",3
WMNST 207N,"LGBTQ+ Identity, Culture and The Arts",3
WMNST 225N,Sexuality and Modern Visual Culture,3
WMNST 240Q,Artistic Patronage in Europe,3
WWNDS 100,Flute: Secondary,1
WWNDS 101,Oboe: Secondary,1
WWNDS 102,Clarinet: Secondary,1
WWNDS 103,Bassoon: Secondary,1
WWNDS 104,Saxophone: Secondary,1
WWNDS 110,Flute: Secondary,2
WWNDS 111,Oboe: Secondary,2
WWNDS 112,Clarinet: Secondary,2
WWNDS 113,Bassoon: Secondary,2
WWNDS 114,Saxophone: Secondary,2
