Code,Course,Credits
BIOL 155,Introduction to the Biology of Aging,3
BIOL 160N,Fitness with Exercise Physiology,3
BIOL 161,Human Anatomy and Physiology I - Lecture,3
BIOL 162,Human Anatomy and Physiology I - Laboratory,1
BIOL 163,Human Anatomy and Physiology II - Lecture,3
BIOL 164,Human Anatomy and Physiology II - Laboratory,1
BIOL 169N,What it means to be human,3
BIOL 177,Biology of Sex,3
BIOL 197E,*Special Topics Inter-Domain*,3
BIOL 220M,Honors Biology: Populations and Communities,4
BIOL 220W,Biology: Populations and Communities,4
BIOL 230M,Honors Biology: Molecules and Cells,4
BIOL 230W,Biology: Molecules and Cells,4
BIOL 240M,Honors Biology: Function and Development of Organisms,4
BIOL 240W,Biology: Function and Development of Organisms,4
BISC 1,Structure and Function of Organisms,3
BISC 2,"Genetics, Ecology, and Evolution",3
BISC 3,Environmental Science,3
BISC 4,Human Body: Form and Function,3
BMB 1,The Science of Sickness,3
BMB 1Z,The Science of Sickness - Linked,3
CHEM 1,Molecular Science,3
CHEM 3,Molecular Science With Laboratory,3
CHEM 5,Kitchen Chemistry,3
CHEM 106,Introductory and General Chemistry,5
CHEM 110,Chemical Principles I,3
CHEM 110H,Chemical Principles I - Honors,3
CHEM 111,Experimental Chemistry I,1
CHEM 112,Chemical Principles II,3
CHEM 112H,Chemical Principles II - Honors,3
CHEM 113,Experimental Chemistry II,1
CHEM 113B,Experimental Chemistry II--Bioscience,1
CHEM 130,"Introduction to General, Organic, and Biochemistry",3
CHEM 233N,Chemistry and Literature,3
CMLIT 19N,Being in the Universe,3
CMLIT 183Q,From Beast Books to Resurrecting Dinosaurs,3
COMM 151N,Film and Extraterrestrial Life: Science Fact or Fiction?,3
DANCE 370,Anatomy and Physiology for Performers,3
DANCE 370H,Anatomy for Performers,3
DANCE 370Z,Anatomy and Physiology for Performers,3
EARTH 2,The Earth System and Global Change,3
EARTH 10,Energy and Earths Climate,1
EARTH 100,Environment Earth,3
EARTH 100H,Environment Earth: Environment and Energy,3
EARTH 101,Natural Disasters: Hollywood vs. Reality,3
EARTH 103N,Earth in the Future: Predicting Climate Change and Its Impacts Over the Next Century,3
EARTH 104N,"Climate, Energy and Our Future",3
EARTH 105N,Environments of Africa: Geology and Climate Change,3
EARTH 106,"The African Continent: Earthquakes, Tectonics and Geology",3
EARTH 107N,"Coastal Processes, Hazards and Society",3
EARTH 109,The Fundamentals of Shale Energy Development,3
EARTH 111N,Water: Science and Society,3
EARTH 150,Dinosaur Extinctions and Other Controversies,3
EARTH 155N,Scientific Controversies and Public Debate,3
EARTH 200N,Earth Systems Through a Soc & Envir Justice Lens,3
EARTH 240,Coral Reef Systems,4
EGEE 101,Energy and the Environment,3
EGEE 101A,Energy and the Environment,3
EGEE 101H,Energy and the Environment,3
EGEE 102,Energy Conservation for Environmental Protection,3
EGEE 102H,Energy Conservation for Environmental Protection,3
EGEE 110N,Environmental Health and Safety Science,3
EGEE 210,Technological Legacy of Pennsylvania Coal,3
EMSC 121,Minerals and Modern Society,3
EMSC 150,Out of the Fiery Furnace,3
EMSC 240N,Energy and Sustainability in Contemporary Culture,3
ENGL 142N,Science in Literature,3
ENGL 163N,Defining the Animal,3
ENGL 233N,Chemistry and Literature,3
ENGR 115N,"Science, Humanity and Catastrophe: Scientific Discovery in Germany",3
ENGR 120N,Design Thinking and 3D Printing in Engineering and Healthcare,3
ENGR 197E,Special Topics GN/GH,3
ENT 202N,"Insect Connections: Insects, Globalization and Sustainability",3
ENT 216N,Plagues Through the Ages,3
ENT 222N,Honey Bees and Humans,3
ENVST 100N,Visions of Nature,3
ERM 210,Environmental Factors and Their Effect on Your Food Supply,3
FDSC 223,Understanding Science Through Wine Beer and Bread,3
FOR 201,Global Change and Ecosystems,3
FRNSC 100,Introduction to Forensic Science,3
FRNSC 100Z,Introduction to Forensic Science,3
FRNSC 200,Introduction to Crime Scene Investigation,3
GAME 180N,The Art and Science of Virtual Worlds,3
GEOG 1N,Global Parks and Sustainability,3
GEOG 3N,Food and the Future Environment,3
GEOG 4,Earth and Environmental Systems Geography,3
GEOG 6N,Maps and the Geospatial Revolution,3
GEOG 10,Physical Geography: An Introduction,3
GEOG 10H,Physical Geography: An Introduction,3
GEOG 30N,Environment and Society in a Changing World,3
GEOG 107N,Immersive Technologies - Transforming Society Through Digital Innovation,3
GEOG 110,Climates of the World,3
GEOG 115,Landforms of the World,3
GEOG 210,Geographic Perspectives on Environmental Systems Science,3
GEOG 314,Biogeography and Global Ecology,3
GEOG 315,Landforms and Geomorphic Systems in the Anthropocene,3
GEOG 330N,Political Ecology,3
GEOG 332N,Science and policy of global greenhouse gas emissions and management,3
GEOSC 2,Historical Geology,3
GEOSC 10,Geology of the National Parks,3
GEOSC 20,Planet Earth,3
GEOSC 20H,Planet Earth,3
GEOSC 20L,Planet Earth,3
GEOSC 21,Earth and Life: Origin and Evolution,3
GEOSC 30,Volcanoes,3
GEOSC 40,The Sea Around Us,3
GEOSC 40H,The Sea Around Us,3
GEOSC 107N,"Rocks, Minerals, and the History of Art",3
GEOSC 109H,Earthquakes and Society,3
GEOSC 110H,The Science of Gemstones,3
GEOSC 111,Forensic Geoscience,3
GEOSC 212N,Earthquakes and Human History,3
GER 115N,"Science, Humanity and Catastrophe: Scientific Discovery in Germany",3
GER 197E,Special Topics GN/GH,3
HHD 200N,Addiction Science to Society,3
HIST 6N,History and Weather: How Weather Played an Instrumental Role in Great World Events,3
HIST 125N,History of Infectious Disease and Epidemiology,3
HIST 128N,Cultural Perspectives on Mathematics,3
HIST 129N,Chocolate Worlds,3
HIST 212N,Earthquakes and Human History,3
HORT 101,Horticultural Science,3
HORT 150N,Plants in the Human Context,3
HORT 169N,"Fundamentals of Home Landscaping: An Introduction to Design, Construction, and Maintenance",3
INART 50,The Science of Music,3
INART 50Z,The Science of Music,3
INART 197Q,Special Topics - InterDomain,3
INTAG 100N,"Everyone Eats: Hunger, Food Security & Global Agriculture",3
KINES 160N,Fitness with Exercise Physiology,3
MATSE 81,Materials in Todays World,3
MATSE 101,Energy and the Environment,3
MATSE 101A,Energy and the Environment,3
MATSE 112,Applied Materials Chemistry for Engineers,3
METEO 2,Our Changing Atmosphere: Personal and Societal Consequences,3
METEO 3,Weather Revealed: Introductory Meteorology,3
METEO 4,Weather and Risk,3
METEO 5,Severe and Unusual Weather,3
METEO 6N,History and Weather: How Weather Played an Instrumental Role in Great World Events,3
METEO 7,"An Introduction to Climate Sciences: Climate change, Variability, and Society",3
METEO 51N,Meteorology and Visual Arts: To Know is to See,3
METEO 101,Understanding Weather Forecasting,3
METEO 122,Atmospheric Environment: Growing in the Wind,3
METEO 133N,Ethics of Climate Change,3
METEO 332N,Science and policy of global greenhouse gas emissions and management,3
MICRB 106,Elementary Microbiology,3
MICRB 106H,Elementary Microbiology,3
MICRB 107,Elementary Microbiology Laboratory,1
NURS 325N,Health and Environmental Sustainability,3
PHIL 131N,BS: Identifying Bias and Falsehood,3
PHIL 133N,Ethics of Climate Change,3
PHOTO 321N,Flow Visualization: The Art and Physics of Fluid Motion,3
PHYS 1,The Science of Physics,3
PHYS 1H,The Science of Physics,3
PHYS 10,Physics Behind the Headlines,3
PHYS 150,Technical Physics I,3
PHYS 151,Technical Physics II,3
PHYS 211,General Physics: Mechanics,4
PHYS 211H,General Physics: Mechanics,4
PHYS 212,General Physics: Electricity and Magnetism,4
PHYS 212H,General Physics: Electricity and Magnetism,4
PHYS 213,General Physics: Fluids and Thermal Physics,2
PHYS 214,General Physics: Wave Motion and Quantum Physics,2
PHYS 250,Introductory Physics I,4
PHYS 250H,Introductory Physics I,4
PHYS 251,Introductory Physics II,4
PLANT 129N,Chocolate Worlds,3
PLANT 200,"Introduction to Agricultural Crop Growth, Form, and Function",3
PLANT 220,Gardening for Fun and Profit,3
PLANT 240,"Fundamentals of Cannabis: An Introduction to the Botany, Cultivation, and Harvesting of Hemp",3
PPEM 120,The Fungal Jungle: A Mycological Safari From Truffles to Slime Molds,3
PPEM 170N,Plant and Microbial Art,3
PPEM 300,Horticultural Crop Diseases,3
PSYCH 150N,Human Nature: The Science of Extreme Altruism and Violence,3
PSYCH 150Q,Human Nature: The Science of Extreme Altruism and Violence,3
PSYCH 169N,What it means to be human,3
PSYCH 217N,The Science of Human Resilience,3
PSYCH 263N,Science of Learning,3
RLST 133N,Ethics of Climate Change,3
SC 60N,Art in the Natural World,3
SC 103N,When Data Meets Design,3
SC 120N,"Plants, Places, and People",3
SC 125N,History of Infectious Disease and Epidemiology,3
SC 135N,Society and Disease Management,3
SC 142N,Science in Literature,3
SC 145N,The Visual Body,3
SC 183Q,From Beast Books to Resurrecting Dinosaurs,3
SC 197Q,Special Topics - InterDomain,3
SC 200,Science in Our World: Certainty and Controversy,3
SC 205N,BS: Identifying Bias and Falsehood,3
SC 290,Renewable Energy in Costa Rica,3
SC 475N,"Anatomy in Italy: Cadavers, Culture, and Science",3
SOILS 71,Environmental Sustainability,3
SOILS 101,Introductory Soil Science,3
STS 55,Space Science and Technology,3
STS 110N,Chemistry in World Wars I and II,3
STS 150,Out of the Fiery Furnace,3
STS 201,"Climate Change, Energy, and Biodiversity",3
SUST 150N,The Science of Sustainable Development,3
SUST 325N,Health and Environmental Sustainability,3
VBSC 211,The Immune System and Disease,3
WFS 209H,Wildlife and Fisheries Conservation,3
WFS 209N,Wildlife and Fisheries Conservation,3
