Code,Course,Credits
NURS 325N,Health and Environmental Sustainability,3
NURS 407,Drugs of Abuse and Mental Health Issues,3
NURS 464,Dying and Death,3
NUTR 100,Nutrition Applications for a Healthy Lifestyle,3
NUTR 175,Healthy Food for All: Factors that Influence What we Eat in the US,3
NUTR 175Z,Healthy Food for All: Factors that Influence What we Eat in the US - LINKED,3
NUTR 251,Introductory Principles of Nutrition,3
PHIL 137N,Introduction to Philosophy through Health and Sport,3
PLSC 222N,Science and Politics of the Female Athlete,3
PUBPL 222N,Science and Politics of the Female Athlete,3
RHS 226,College Student Mental Health and Wellness,3
RPTM 1,Introduction to Outdoor Pursuits,1.5
RPTM 1Z,Introduction to Outdoor Pursuits -LINKED,1.5
RPTM 140,Outdoor School Field Experience,2
RPTM 280,Wilderness First Aid,1
SCIED 140,Outdoor School Field Experience,2
SOC 150N,"Healthy People, Healthy Society",3
SOC 258N,Introduction to Child Maltreatment and Advocacy Studies,3
STS 105,Food Facts and Fads,3
SUST 325N,Health and Environmental Sustainability,3
VBSC 130,Understanding Human Disease,3
WMNST 458,Critical Feminist Issues in Reproduction,3
